"Azerbaijan"	"Denmark"	"France"	"Germany"	"Greece"	"Iceland"	"Ireland"	"Moldova"	"Romania"	"Russia"	"Spain"	"Ukraine"	"United Kingdom"	"Bosnia and Herz."	"Estonia"	"Georgia"	"Hungary"	"Italy"	"Lithuania"	"Norway"	"Serbia"	"Sweden"	"Albania"	"Armenia"	"Belarus"	"Belgium"	"Cyprus"	"Finland"	"Malta"	"Turkey"	"Austria"	"Israel"	"Macedonia"	"Netherlands"	"Portugal"	"Slovenia"	"Switzerland"
"Albania"	6.3	1.5	2	5	11	0	0	0	5	3.5	6	3	3.5	6.5	0	0	8	10.3	0	2	1.7	5	0	0	0	0	6	0	0	9	0	4	8	4	0	0	0
"Armenia"	0	4.5	4.3	0	6	0	0	0	1	8.3	7	10.7	2	0	0	10.7	0	3.5	0	2.5	1	4	0	0	5	0	0	0	6	0	3	0	0	0	4	0	0
"Austria"	10	5	2	6.7	7	0	4	2.7	2.5	5	6	1	0	9.5	0	0	2	8	0	0	8.5	12	8	0	0	3	0	0	0	3	0	0	0	8	0	3	0
"Azerbaijan"	0	4.5	0	1	5.7	0	1	4.7	6.2	5.7	0	9.2	3.5	0	0	9.3	2	1	3.5	2	0	5	0	0	7	0	2	0	8	12	0	5	0	0	0	0	0
"Belarus"	7.2	1	0	8	6	2	1	5	1	9.2	0	10.5	2	0	4	9.5	0	3	6.5	3	0	5	0	3.5	0	0	0	0	5	3	0	8	2	0	0	0	0
"Belgium"	4.3	6	12	7.5	6	8	5.5	2	6.5	6	3.5	8	1	0	2	4	0	6	0	7	5	5.7	6.5	7	0	0	0	0	0	6.5	0	0	0	12	0	0	0
"Bosnia and Herz."	7.3	0	3	5.5	3.5	1	2	0	2	3	5	0	0	0	0	4	0	6	0	0	10.7	6.5	5.5	0	0	0	0	0	0	7	7	1	12	0	0	12	0
"Bulgaria"	11.3	4.5	0	3	5.8	0	3	3	6	5	2.5	8.3	12	2	0	3.5	6	0	5	1	12	6	4	8	1	0	4	0	0	8.5	5	0	2	0	0	0	0
"Croatia"	8.5	6	4.5	3.7	5	0	2	1	0	6	0	8.5	0	9	0	7	4	5	2	3	9.3	4	5	0	0	0	4	0	0	12	3	0	8	2	0	12	0
"Cyprus"	8.5	5	3.7	4	12	1	2	0	5.5	4	6	7	4	0	0	5	0	3	0	4	4	10	4	7	0	0	0	0	3	0	0	2	0	0	0	6	0
