TCGA.C8.A12P.01	TCGA.A8.A08X.01	TCGA.AN.A0FV.01	TCGA.A8.A076.01	TCGA.A8.A09G.01	TCGA.A2.A04W.01	TCGA.BH.A0EE.01	TCGA.AO.A0JE.01	TCGA.C8.A12Q.01	TCGA.A8.A07I.01	TCGA.A8.A094.01	TCGA.E2.A159.01	TCGA.AN.A04D.01	TCGA.B6.A0IQ.01	TCGA.AN.A0FL.01	TCGA.A2.A04P.01	TCGA.AR.A0TS.01	TCGA.AN.A0XU.01	TCGA.AR.A0TP.01	TCGA.BH.A0E0.01	TCGA.A2.A0SX.01	TCGA.BH.A18V.01	TCGA.AO.A12F.01	TCGA.AR.A1AJ.01	TCGA.A2.A0YM.01	TCGA.A2.A0ST.01	TCGA.A2.A0CM.01	TCGA.C8.A134.01	TCGA.AN.A0XT.01	TCGA.BH.A0BJ.01	TCGA.A1.A0SH.01	TCGA.BH.A0H6.01	TCGA.AR.A1AK.01	TCGA.BH.A18H.01	TCGA.BH.A0BV.01	TCGA.C8.A132.01	TCGA.A2.A0YI.01	TCGA.A2.A0CQ.01	TCGA.BH.A0B4.01	TCGA.BH.A0DP.01	TCGA.BH.A0E7.01	TCGA.AO.A12A.01	TCGA.BH.A0BS.01	TCGA.BH.A0BQ.01	TCGA.A2.A0EV.01	TCGA.A8.A0A4.01	TCGA.E2.A1B6.01	TCGA.BH.A0GY.01	TCGA.BH.A0BA.01	TCGA.B6.A0RM.01	TCGA.A2.A0SU.01	TCGA.E2.A15J.01	TCGA.E2.A1BC.01	TCGA.A8.A07F.01	TCGA.E2.A15O.01	TCGA.E2.A14Z.01	TCGA.BH.A0BM.01	TCGA.BH.A0HK.01	TCGA.BH.A0H7.01	TCGA.A2.A0YL.01	TCGA.BH.A0BP.01	TCGA.AR.A1AS.01	TCGA.E2.A14Q.01	TCGA.E2.A10E.01	TCGA.AN.A0XO.01	TCGA.E2.A15P.01	TCGA.B6.A0X0.01	TCGA.A2.A04N.01	TCGA.A8.A091.01	TCGA.A8.A099.01	TCGA.B6.A0RQ.01	TCGA.A8.A09I.01	TCGA.A8.A09M.01	TCGA.A8.A082.01	TCGA.E2.A14W.01	TCGA.BH.A18L.01	TCGA.A8.A06N.01	TCGA.AR.A0TT.01	TCGA.A8.A07W.01	TCGA.AO.A03O.01	TCGA.E2.A14O.01	TCGA.BH.A0BF.01	TCGA.AN.A041.01	TCGA.E2.A10A.01	TCGA.AR.A0TY.01	TCGA.E2.A107.01	TCGA.A2.A0YH.01	TCGA.E2.A109.01	TCGA.BH.A18F.01	TCGA.AN.A0FF.01	TCGA.A8.A09R.01	TCGA.C8.A12M.01	TCGA.AN.A0AM.01	TCGA.AN.A0AS.01
Amp_1	1.5833	0.72848	0.22323	0.70682	0.55971	0.25191	0.40844	0.57176	3.9735	1.585	-0.12668	0.34453	1.365	2.5653	0.94282	0.19829	0.26938	0.74385	1.3584	2.2319	0.56739	2.3547	1.512	0.47787	1.1786	0.23619	1.1749	0.10375	0.01418	0.83763	0.027089	0.0057644	0.76394	0.44708	0.66779	0.062937	0.3972	0.99488	0.021111	1.2836	0.001318	0.89969	0.63463	0.76074	0.65605	0.24152	-0.025123	0.40567	1.0705	0	-0.013192	1.4115	0	1.4563	0.0029802	0.5245	0.62137	1.9182	0.75673	0.2559	0.096961	1.3423	0.58417	0.67289	0.58327	0.0036076	1.0371	0	-0.0089906	1.6169	0.1202	1.01	0.17392	0.0072217	-0.00069303	1.4808	0.47799	0.687	0.70907	0.85922	0.88326	0.57619	0.65288	1.5485	0	1.1122	0.59242	1.2038	0.70513	1.1864	1.2483	2.9612	2.8423	0.59872
Amp_2	0.40944	0.72848	0.42479	0.70682	0.55971	0.25191	0.40844	0.57176	0.54025	6	-0.12668	0.34453	1.365	1.4762	0.94282	0.19829	0.26938	0.74385	1.3584	2.2319	0.56739	2.2506	1.512	0.47787	1.1786	0.13111	2.5096	0.10375	0.01418	0.83763	0.028344	0.0057644	0.76394	0.44708	0.73908	0.062937	0.3972	0.99488	0.021111	1.2836	0.001318	0.89969	0.63463	0.76074	0.65605	0.2541	-0.025123	0.40567	0.97545	0	-0.013192	1.4115	0	1.4563	0.015168	0.5245	0.60473	1.9182	0.75673	0.2559	1.2868	1.3423	0.58417	0.67289	0.5569	0.0036076	1.0371	0	-0.0089906	1.6169	0.1202	1.01	0.26263	0.0072217	-0.00069303	1.4808	0.51909	1.9715	0.70907	0.87468	0.88326	0.57619	0.65288	0.91078	0	1.1122	0.59242	0.72371	0.70513	1.1864	1.2483	0.92189	0.50047	0.59872
Amp_3	0.40944	0.72848	0.44678	0.69145	0.55971	0.23875	0.40844	0.57176	1.3253	4.1653	-0.12809	0.34453	1.3999	0.44748	0.91339	0.17224	0.26938	-0.32228	0.57681	-0.010508	0.56739	0.16396	1.7533	0.45564	0.34909	0.13111	0.52793	0.10375	0.01418	0.83763	0.62043	0.0057644	0.77202	0.44708	1.0902	0.062937	0.3972	0.99322	0.032986	1.3005	0.001318	0.94236	0.63463	0.76074	0.65605	0.37625	0.046888	0.40567	1.0701	-0.0014297	-0.013192	1.4115	0	1.4807	0.008341	0.5245	0.61407	1.9182	0.8068	0.2559	0.29189	1.3991	0.58417	0.67289	1.1303	0.0036076	0.9901	0	-0.0089906	1.6178	0.1202	1.0209	0.71829	0	1.249	1.4923	0.50418	0.94221	0.74404	0.86581	0.88326	0.57619	0.65288	1.6113	0.0020805	1.1122	0.59242	0.44252	0.70513	1.3251	1.2048	0.85576	0.25857	0.59872
Amp_4	0.40944	0.72848	0.4375	0.013733	0.58291	0.20801	0.40844	0.82043	-0.011651	0.69439	-0.16507	0.3547	1.4542	1.5477	1.9605	0.31095	0.25027	0.045849	1.5307	-0.010508	1.3441	-0.096474	1.7533	0.45564	0.35969	0.13757	-0.054973	-0.042381	0.0070728	0.83763	0.62043	0.0057644	0.77202	0.44708	1.0902	0.062937	0.37428	0.99322	-0.5037	1.3369	-0.0019399	0.82707	0.63463	0.76074	0.65439	0.096727	0.1345	0.40567	1.0251	-0.0057869	-0.013192	1.4115	0	1.5129	-0.016619	0.5245	0.61407	1.9188	0.8068	0.2559	0.54206	1.3391	0.58417	0.67289	1.1514	-0.014183	1.0502	0	-0.0089906	1.6178	0.1202	1.0052	0.71829	-0.058731	-0.1637	1.4923	0.51438	-0.10369	0.74404	0.91925	0.88326	0.58686	0.65288	-0.82015	-0.037626	1.1122	0.59242	0.91859	0.70513	1.6254	1.1776	-0.72234	0.4402	0.31723
Amp_5	-0.17929	0.20543	0.027758	-0.0053992	-0.0099565	-0.0028429	-0.0088526	0	0.53059	-0.0061051	0.33092	-0.32426	-0.82952	-0.059807	-0.03681	0.31817	-0.18836	0.32865	-0.85898	-0.42309	-0.4163	-0.0043725	0.021043	-0.0050738	-0.018353	-0.010672	0.33708	0	0.7679	-0.2764	0.017268	-0.0036674	-0.0040995	0.18214	0.062555	-0.0076101	0.003191	0.0020805	0.010982	-0.0060857	0	-0.019539	0	0.00040613	-0.0076371	-0.0071958	0.036935	-0.017342	0.0038375	0.0057868	0.001863	0.0027745	0.0015437	-0.52131	-0.00013862	0.3486	0.0026357	-0.011473	-0.52478	-0.040108	0.17106	0.56339	0.013729	0.00055459	0.18828	0.014609	-0.0044514	0.0035992	0.20747	0.023566	0.0091705	0.35496	-0.19049	-0.0081624	0.022567	-0.22761	-0.044144	0.27882	-0.02384	3.0581	0.27884	0.073258	-0.21669	0.0071267	0.021434	0	0.038065	0.11106	-0.22826	-0.0031839	0.20782	0.35512	0.60268	0.28564
Amp_6	2.1031	0.45666	0.025932	-0.0070576	-0.0099565	-0.010924	-0.0088526	0.015587	0.44175	-0.0032684	-0.43496	0.25168	0.75337	0.38353	0.77632	6	0.45973	0.1489	0.75006	0.0068302	1.2533	1.8086	0.015168	0.13465	0.56988	-0.010672	0.5509	0.077286	0.78735	0.011936	0.90332	-0.0069378	0.010759	0.18292	0.062534	0.092025	0.014827	0.0020805	0.55549	-0.0011087	-0.011722	0.0018811	0	0.007773	0.71599	0	0.036935	2.5835	0.00481	0.0057868	0.0063492	0.0027745	0.0070826	-0.51787	-0.7436	0.3486	0.0026357	-0.013116	0.35892	-0.040108	0.10322	0.56232	0.0075751	0.011261	0.79549	0.020264	-0.0078244	0.0029954	0.21217	0.023566	-0.002138	0.027497	0.44274	-0.0081624	0.016006	-0.21751	-0.027535	-0.00041817	0.57311	0.46468	0.28042	0.044337	0.19429	0.0075	0.015447	0.011017	0.038065	0.090967	-0.21898	0.46882	0.20742	0.034553	0.20732	0.21484
Amp_7	-0.018353	1.1479	0.0092594	-0.030963	-0.0099565	-0.010924	-0.0088526	0.53608	0.44175	0.02716	-0.43496	0.25168	0.75337	0.12461	0.77041	0.25989	0.45973	0.21803	-0.095434	0.017264	-0.39274	1.2073	0.027778	0.13465	0.5691	-0.010672	0.56295	0.077286	0.75527	-0.0084165	0.90332	-0.0069378	0.010759	0.18292	0.047245	0.092025	0.014827	0.0020805	0.54946	-0.0011087	-0.011722	0.0018811	0	0.007773	0.71599	0	0.036935	-0.41714	0.045092	0.0057868	0.0063492	0.0027745	0.0070826	-0.51787	-0.75763	0.35055	0.0026357	-0.013116	2.0853	-0.040108	0.092315	0.61816	0.0075751	0.011261	0.81025	0.0099739	-0.0078244	0.0029954	0.21217	0.023566	-0.002138	0.027497	0.44274	-0.0081624	-0.46003	-0.23594	-0.027535	-0.00041817	1.7578	0.43236	0.28042	0.43193	0.19429	0.0075	0.024268	-0.0035434	0.038065	0.090967	-0.21898	0.46882	0.27784	0.034553	0.20732	0.21484
Amp_8	-0.22429	0.10103	-0.41472	0.014648	-0.57229	4.5618	0.0034687	0.028622	0.0066253	-0.012218	0.079159	-0.29615	0.77502	-0.41045	-0.0018014	0.65348	-0.016291	0.70626	-0.86934	-0.42133	-0.45901	-0.38831	-0.30663	-0.00069303	0.20473	0	-0.0012164	-0.088904	-0.77329	-0.29836	-0.0048428	-0.0051485	0.014246	0.082976	-0.28665	-0.091517	0.023426	0.0088049	0.0043021	-0.014228	-0.0071958	-0.17639	-0.011003	0.016642	0.0010236	-0.0048925	-0.032996	-0.023653	-0.37345	0.0074559	0.0023202	0.004719	-0.087712	0.0052404	0.77041	0.042024	0.0081959	-0.012176	1.223	-0.0085766	-0.29568	-0.037283	-0.57002	0.0086135	0.028846	0.023566	-0.0069396	-0.0016629	0.48303	-0.027398	0.0023581	0	0.18011	-0.029971	0.0042463	0.24653	0.5003	0.10278	0.19756	3.0708	-0.46295	-0.16485	-0.28587	0.028341	-0.71319	0.0038205	0.013492	0.11311	-0.21878	-0.003376	-0.40487	0.040751	-0.084708	-0.12149
Amp_9	0.10497	0.072253	-0.41315	0.39214	0.0044411	-0.22119	0.001803	0.018103	0.13727	-0.00946	0.07369	0.22407	-0.0022168	0.25605	0.75586	-0.08471	0.035101	0.064368	0.02155	0.00597	0.018523	0.643	0.6753	0.040777	3.7454	0.065721	0.28011	0.15969	0.015316	-0.064755	0.014613	-0.0036674	0.009226	-0.0054555	-0.014892	0.073258	-0.0096806	-0.66031	-0.049965	-0.30956	-0.016144	0.085329	-0.0078863	-0.0029719	0.25633	-0.018216	0.011539	0.015571	0.37342	0.0045359	-0.00073084	0.0069435	0.0098669	0.49748	-0.59234	0.35283	-0.0041546	-0.0094046	0.38374	0.0079349	-0.28108	0.036866	-0.0073339	0.0068044	0	0.012934	-0.0022814	0.0022123	-0.019669	0	-0.079144	0.039761	-0.16361	0.013492	-0.0063668	-0.70948	-0.036401	0.027539	0.22083	-0.011198	-0.088766	0.082043	0.0092799	0.0072217	0.010564	-0.2986	0.004719	0.15393	0.029888	-0.0027419	-0.21928	-0.071595	-0.14278	0
Amp_10	-0.19174	0.072253	-0.43672	-0.35008	0.0044411	3.9124	0	0	2.9436	-0.00946	0.50244	0.21653	0.0077783	-0.057821	-0.0084385	-0.39659	0.035101	0.89788	-0.91246	0.00597	0.018523	-0.033167	0.054691	0.0558	-0.038714	1.6801	0.57309	-0.54421	0.022995	-0.30453	-0.034441	-0.0097586	0.009226	-0.0054555	-0.025347	0.073258	0.016146	-0.66031	-0.58598	-0.30956	-0.016144	0.085329	-0.0078863	-0.3892	-0.0047065	-0.62589	0.011539	0.015571	-0.37452	0.0045359	-0.00073084	0.0069435	-0.49152	0.43564	0.0019418	0.35283	-0.62215	-0.0094046	-0.52601	-0.0020784	0.07988	0.019529	-0.0073339	0.0068044	0	-0.59105	-0.0037597	-0.0012473	-0.019669	0	-0.14004	-0.33605	-0.65919	-0.84307	-0.0063668	-0.70812	-0.0696	4.485	-0.53099	6	-0.088766	0.50707	-0.65212	0.0072217	0.0022736	-0.2986	0.004719	-0.7002	-0.47575	-0.68613	-0.24535	-0.34927	2.0886	-0.11142
Amp_11	-0.19937	0.072253	-0.41324	-0.35008	0.0044411	0.20373	0	0	-0.4743	-0.00946	1.0644	0.22115	0.72678	0.11814	0.0023581	1.4887	0.035101	0.55514	-0.88429	0.00597	0.018523	-0.43086	0.97396	0.0558	-0.023018	0.028088	0.54878	0.021884	0.022995	-0.32004	3.3668e-06	-0.0097586	0.009226	-0.0054555	-0.022034	0.073258	0.016146	-0.67454	-0.0047079	-0.30956	-0.016144	0.042014	-0.0078863	-0.39218	0.05264	-0.63026	0.011539	0.0056324	-0.37452	0.0045359	-0.00073084	0.0069435	-0.51351	0.43564	0.0019418	0.35283	-0.63863	-0.0094046	-0.52601	-0.0020784	-0.29508	0.03557	-0.0073339	0.0068044	0	-0.62857	-0.0037597	-0.0012473	-0.022195	0	-0.027124	-0.36045	0.12432	0.0033428	-0.067716	-0.70064	-0.61825	0.27994	0.40011	0.45326	-0.10268	0.10162	-0.65212	0.0072217	0.0022736	-0.2986	0.004719	-0.60068	-0.48594	-0.68394	-0.22499	-0.34927	3.0385	-0.11142
Amp_12	0.41479	0.73948	0.05635	0.41027	0	0.22183	-0.0088315	-0.0022168	0.44631	0.0093932	0	0.2302	0.0012985	-0.10606	-0.015329	0.28313	0.21261	-0.67398	-0.019778	0.40177	-0.45843	0.35035	0.54118	0.057455	-0.029854	0.031037	-0.09419	-0.059673	0.014013	0.30567	0.018247	0.0063381	-0.00022202	-0.074999	0.065109	0.0043021	-0.00055444	0.0011467	0.035383	0.61063	0.0064153	-0.0028685	0.00597	0.0036835	0.3275	0.0025092	0.018633	0.74106	0.33843	0.004397	0.00051676	0.01536	-0.53236	0.51869	-0.0048025	0.35398	0.0041632	-0.0023553	0.49393	0.0016642	0.33244	-0.061362	0.0033299	-0.0020784	-0.037799	0.010774	0.016964	-0.0008316	-0.55186	0.024829	0.00041593	0.026514	0.17466	0.0059507	0.34151	0.47529	0.051718	0.19041	0.053948	-0.038578	0	-0.046718	0.031094	0.0023581	-0.026107	0.27588	0.053882	-0.014406	-0.1508	-0.0012185	0.020852	0.0010032	0.21192	0.3256
Amp_13	-0.23838	-0.41003	-0.39677	0.57969	0.00097064	-0.15752	-0.60555	-0.47014	-0.42945	-0.68482	0.022444	0.2559	-0.0019399	-0.39031	-0.85773	-0.3223	0.1544	-0.62922	-0.91713	0	-0.30178	-0.44591	0.014888	-0.32139	0.079303	0.0075672	0.42083	-0.58686	-0.78716	0.0098456	-0.015538	2.0825	-0.41142	-0.52373	-0.65013	-0.59731	0.0051359	-0.008352	-0.0056757	0.32486	-0.77371	0	0	-0.00047868	-0.0087416	0.01447	0.15577	-0.072359	0.3114	-0.86486	0.0001008	-0.77274	-0.51622	0.51468	-0.75978	-0.32716	0.0016642	-0.026851	-0.52933	0.00458	-0.30842	-0.66536	0.0055529	0.0051359	0.61335	0.017124	-0.59372	-0.6936	1.4853	0.76245	-0.0033243	0.0087528	0.19786	3.2942	0.0062481	-0.7341	-1.1806	-0.50702	-0.78142	1.2322	0.78292	0.047126	-0.37065	0.34128	0.77291	0.2971	-0.62627	-1.1115	-0.47955	0.0019706	-0.11121	-1.0837	-0.38571	-0.74855
Amp_14	0.19345	-0.41003	-0.39677	0.57969	0.00097064	0	-0.60555	-0.47014	-0.017843	0.69253	0.022444	0.2559	-0.0019399	-0.39031	-0.85773	-0.3223	0.1544	-0.62922	-0.91713	0	-0.30178	-0.44591	0.014888	0.57934	4.4567	0.0075672	0.42083	-0.057116	0.78117	0.00080032	0.010428	2.0825	-0.41142	-0.52373	-0.65013	0.10176	0.0051359	-0.008352	-0.0056757	0.32486	-0.77371	0	0	-0.00047868	0.44169	0.01447	0.15577	4.0967	0.3114	2.2745	0.0001008	-0.76271	-0.51622	0.51468	6	-0.32716	0.0016642	0.0037465	1.2115	0.00458	0.070817	-0.66536	0.0055529	0.0051359	1.1399	0.017124	-0.59372	0.90372	4.9312	0.050819	-0.0033243	0.7247	0.19786	6	0.0062481	-0.7341	1.0348	-0.50702	2.598	-0.36739	0.78292	0.047126	-0.37065	0.33108	-0.11717	0.2971	6	1.2564	-0.47955	0.0019706	0.93684	2.1939	-0.38571	-0.74855
Amp_15	0.19345	-0.41003	-0.39677	0.57969	0.00097064	0	-0.60555	-0.47014	0.51102	0.69253	0.022444	0.2559	-0.0019399	-0.39031	-0.85773	-0.3223	0.1544	0.10774	-0.91713	0	-0.30178	-0.44591	0.014888	0.57934	4.5924	0.0075672	0.42083	-0.057116	0.78117	0.00080032	0.010428	2.0825	-0.41142	-0.52373	-0.65013	0.10176	0.0051359	-0.008352	-0.0056757	0.32486	-0.75883	0	0	-0.00047868	0.44169	0.01447	0.15577	2.5777	0.3114	2.2745	0.0001008	-0.7821	-0.51622	0.51468	0.023847	-0.32716	0.0016642	0.0037465	1.2115	0.00458	0.070817	0.030251	0.0055529	0.0051359	0.19071	0.017124	0.021443	0.90372	5.7328	0.050819	-0.0033243	0.7247	0.19786	6	0.0062481	-0.7341	1.0348	-0.50702	2.598	-0.46195	0.78292	0.047126	-0.37065	4.1778	-0.11717	0.2971	4.3837	5.8941	-0.47955	0.0019706	-0.052986	-1.0982	-0.38571	-0.74855
Amp_16	-0.23667	-0.41003	-0.39677	0.57969	0.00097064	0	-0.59343	-0.47014	-0.010615	0.69253	0.022444	0.2559	-0.0019399	0.48027	-0.85773	-0.3223	0.1544	0.071391	-0.91713	0	-0.30178	-0.44591	0.014888	0.21668	1.0812	0.0075672	0.42083	-0.057116	0.0060661	0.00080032	0.010428	3.1843	-0.41142	-0.52373	-0.65013	0.10176	0.0051359	-0.008352	-0.0056757	0.32486	1.6543	0	0	-0.00047868	0.44169	0.01447	0.15577	1.4234	0.3114	2.2745	0.0001008	-0.7821	-0.51622	0.51468	5.5125	-0.34676	0.0016642	0.68608	0.40999	0.00458	0.070817	0.059583	0.0055529	0.0051359	0.19071	0.017124	0.021443	0.90372	6	0.050819	-0.0033243	-0.68232	0.19786	6	0.0062481	-0.67918	0.9511	-0.50702	2.2516	0.88506	0.78292	0.047126	-0.37065	0.27285	-0.11717	0.2971	3.9042	1.1294	-0.47955	0.0019706	-0.074727	1.9677	-0.38571	2.1702
