TCGA.C8.A12P.01	TCGA.A8.A08X.01	TCGA.AN.A0FV.01	TCGA.A8.A076.01	TCGA.A8.A09G.01	TCGA.A2.A04W.01	TCGA.BH.A0EE.01	TCGA.AO.A0JE.01	TCGA.C8.A12Q.01	TCGA.A8.A07I.01	TCGA.A8.A094.01	TCGA.E2.A159.01	TCGA.AN.A04D.01	TCGA.B6.A0IQ.01	TCGA.AN.A0FL.01	TCGA.A2.A04P.01	TCGA.AR.A0TS.01	TCGA.AN.A0XU.01	TCGA.AR.A0TP.01	TCGA.BH.A0E0.01	TCGA.A2.A0SX.01	TCGA.BH.A18V.01	TCGA.AO.A12F.01	TCGA.AR.A1AJ.01	TCGA.A2.A0YM.01	TCGA.A2.A0ST.01	TCGA.A2.A0CM.01	TCGA.C8.A134.01	TCGA.AN.A0XT.01	TCGA.BH.A0BJ.01	TCGA.A1.A0SH.01	TCGA.BH.A0H6.01	TCGA.AR.A1AK.01	TCGA.BH.A18H.01	TCGA.BH.A0BV.01	TCGA.C8.A132.01	TCGA.A2.A0YI.01	TCGA.A2.A0CQ.01	TCGA.BH.A0B4.01	TCGA.BH.A0DP.01	TCGA.BH.A0E7.01	TCGA.AO.A12A.01	TCGA.BH.A0BS.01	TCGA.BH.A0BQ.01	TCGA.A2.A0EV.01	TCGA.A8.A0A4.01	TCGA.E2.A1B6.01	TCGA.BH.A0GY.01	TCGA.BH.A0BA.01	TCGA.B6.A0RM.01	TCGA.A2.A0SU.01	TCGA.E2.A15J.01	TCGA.E2.A1BC.01	TCGA.A8.A07F.01	TCGA.E2.A15O.01	TCGA.E2.A14Z.01	TCGA.BH.A0BM.01	TCGA.BH.A0HK.01	TCGA.BH.A0H7.01	TCGA.A2.A0YL.01	TCGA.BH.A0BP.01	TCGA.AR.A1AS.01	TCGA.E2.A14Q.01	TCGA.E2.A10E.01	TCGA.AN.A0XO.01	TCGA.E2.A15P.01	TCGA.B6.A0X0.01	TCGA.A2.A04N.01	TCGA.A8.A091.01	TCGA.A8.A099.01	TCGA.B6.A0RQ.01	TCGA.A8.A09I.01	TCGA.A8.A09M.01	TCGA.A8.A082.01	TCGA.E2.A14W.01	TCGA.BH.A18L.01	TCGA.A8.A06N.01	TCGA.AR.A0TT.01	TCGA.A8.A07W.01	TCGA.AO.A03O.01	TCGA.E2.A14O.01	TCGA.BH.A0BF.01	TCGA.AN.A041.01	TCGA.E2.A10A.01	TCGA.AR.A0TY.01	TCGA.E2.A107.01	TCGA.A2.A0YH.01	TCGA.E2.A109.01	TCGA.BH.A18F.01	TCGA.AN.A0FF.01	TCGA.A8.A09R.01	TCGA.C8.A12M.01	TCGA.AN.A0AM.01	TCGA.AN.A0AS.01
A2M	0.36675	0.60475	-0.068	-0.28925	0.69275	1.94175	-0.2785	0.6335	1.21975	0.6455	0.439	0.7005	-0.21625	0.06175	-0.47425	0.244	0.8975	-0.93575	5.19325	-0.067	0.66525	-0.172	2.776	0.75725	-1.392	0.8915	0.2885	1.31475	1.3215	1.60575	1.1605	0.403	1.83175	0.9255	1.09325	1.97075	1.7575	0.61425	1.2775	1.389	0.794	1.17225	-0.30725	1.81075	0.65675	1.212	1.042	0.5895	1.462	-0.44575	1.384	-0.868	0.7175	0.784	0.29325	0.794	0.88375	1.0095	0.109	2.2155	1.28575	-1.0185	0.63	0.032	0.62225	1.35775	0.18875	0.32425	1.07125	0.3905	2.115	-0.4745	0.24525	1.372	-1.67725	-0.071	-0.5875	1.09625	0.72075	-0.05975	-1.46975	1.23325	1.10475	0.14775	0.055	0.27125	0.162	0.36275	1.11475	0.805	0.77825	0.484	1.64075	0.56375
AASS	-1.95425	-1.8345	-1.99875	-2.05125	-2.474	-1.47125	-1.4655	0.02075	-1.564	-1.86275	-2.125	-2.21375	-2.87825	0.46475	-0.76175	-1.07475	-1.99475	-1.0085	-3.17325	-1.04975	-1.854	-2.45025	0.05875	-1.22925	-2.07	-2.06125	-1.758	-2.88425	-1.98675	-0.7515	-0.11175	-1.61475	-1.232	-1.71325	-1.5995	-1.363	-1.93475	-1.92125	-1.81275	-0.138	-1.58425	-1.2825	0.46425	-1.017	-0.7575	-1.428	-1.88525	-2.44225	-2.34325	-2.114	-1.58375	-2.66425	0.20225	-2.19525	-3.15125	-1.6985	-0.691	-1.61225	-2.443	-0.69225	-1.02325	-1.45625	-1.37875	-0.68575	-1.01625	-0.165	-1.711	-0.68175	-1.14575	-2.1765	-0.4575	-2.4635	-2.21975	-2.13	-2.28325	-2.75225	-1.09625	-1.62425	-2.211	-2.51275	-2.975	-1.542	-0.4405	-0.938	-1.872	-2.69325	-2.27225	-2.026	-1.479	-0.59675	-0.77825	-2.52025	-1.68975	-1.06
ABAT	-0.9297	-1.6903	-0.0739	0.5413	-0.0809	-0.4181	-1.2986	0.6211	-0.6999	0.1383	-0.5155	-2.3436	-1.7596	0.2939	-1.9014	-2.1322	-1.1951	-1.9326	-2.0086	-0.943	-1.7802	-2.4808	-0.1032	-1.4661	-2.1846	-1.3282	-2.119	-0.9725	-0.8382	0.4522	0.5468	1.6787	0.9213	0.7804	1.0184	0.5656	0.9731	3.3126	-1.1971	2.1428	2.367	2.7003	3.5328	2.508	0.9882	0.568	-0.0517	1.2854	-0.2623	0.3834	1.5904	0.9327	2.1698	2.1114	1.3326	-0.3914	-0.0943	-1.0821	-0.554	0.5617	0.7115	2.8674	1.9938	1.721	0.0399	0.725	1.8099	2.0764	0.8037	0.8203	0.6948	-0.6549	-0.00440000000000001	0.8609	-0.6688	-2.3746	0.5688	-0.7416	0.2838	0.839	2.4953	0.811	1.7974	0.8061	2.2691	1.6021	0.3188	-1.1968	1.7728	2.3014	1.376	-2.56	0.7194	-1.3998
ABCA5	-3.374	0.071125	0.4135	-0.410125	-0.17975	-0.80475	0.931875	-0.841625	-2.111125	-2.082625	-0.630125	-1.10475	1.23475	-2.050125	0.50425	0.493375	-0.48375	-0.57325	-0.61075	-1.043375	-1.39	-2.38625	-2.968375	-1.185125	-1.986625	-0.303125	-1.077875	0.08775	0.105875	-0.4485	-0.272	-0.71175	0.658625	-0.516	-1.1275	-0.82475	0.168625	0.221	0.2625	-1.437625	-0.843	-0.4175	-2.875125	-0.98375	0.135125	0.08275	-0.35925	-0.86425	-0.8605	-0.44125	-0.23625	-0.072125	-0.572875	-1.335375	-2.82425	-0.575	0.378875	-1.701625	-0.791	-0.119875	0.15625	-3.625	-0.576875	-0.820625	-2.22825	0.457875	-0.9985	-0.278625	-0.085625	-1.67725	1.7465	-3.0805	1.028	-0.708375	1.311375	0.620875	1.239125	-0.67175	-1.36825	-1.671	-0.421875	-0.972625	-0.95675	-0.711125	1.221	-1.02075	-2.228125	0.59525	-1.19775	-0.831625	-0.429375	0.48275	0.059375	-2.378875
ABCA6	2.757	2.6177	1.3194	2.4443	2.9969	2.5828	1.7994	2.4781	3.3789	3.0018	1.6165	2.9143	1.6773	0.6454	-0.1936	2.0894	3.4411	0.9604	0.1207	2.5583	3.3878	2.273	2.7932	3.5877	1.0536	3.8919	2.0457	2.4049	2.7348	3.9045	3.2738	2.2766	4.7318	2.3317	2.0194	4.2704	2.7585	1.8715	3.3495	3.1683	1.8369	3.7433	2.3021	4.4041	3.3096	3.5399	3.7384	2.6768	3.5144	1.4922	2.5617	1.3219	4.0427	3.4645	1.8258	3.4055	3.6002	3.382	2.642	3.4824	4.1625	1.0841	2.1906	2.0904	1.6513	3.9554	1.606	3.9646	2.3302	2.1186	3.3547	1.6515	2.2582	1.7231	1.5403	1.9064	0.0731	2.9662	1.8507	2.0399	1.807	4.2579	2.4819	2.06	2.493	1.9325	2.2923	1.8254	4.1621	2.6248	2.0814	1.6892	1.2956	1.9892
ABCA8	-0.32875	-0.72575	-0.9255	-0.75525	0.35875	1.11	-1.2345	-0.19125	1.62975	0.3395	-1.39975	0.04475	-1.507	-1.3405	-0.8425	-0.2105	1.80475	-0.935	-1.24125	-0.89625	1.60175	-0.15875	0.836	2.03275	-0.68025	0.717	-0.44	0.06575	0.8515	2.3555	0.935	-0.20375	2.6455	-0.90275	-0.261	2.984	1.8485	-0.875	1.6145	1.03575	-1.767	2.29775	-0.3215	2.4595	0.75075	2.356	2.10325	0.866	1.26525	1.088	0.88875	-1.67	2.61975	0.896	0.4225	1.15	2.293	2.9225	0.3415	2.2155	3.2375	-0.69775	1.26225	0.59175	0.13475	2.49925	-0.6575	0.72025	1.14075	0.58	0.9845	-1.052	-1.08475	-0.9825	-1.7535	0.1635	-1.2205	0.598	-0.88425	-0.15025	-0.90475	1.694	-0.19	-0.63175	-0.261	0.55925	0.43875	-0.48475	2.9885	1.4555	-0.49325	-0.2145	-0.81775	-0.2345
ABCA9	0.8159	1.5932	0.2418	0.4543	1.4496	1.5955	1.1202	1.2753	1.8505	1.7245	0.7996	1.0925	0.9799	0.3426	0.3061	1.2307	2.3412	0.2234	0.3081	1.124875	2.1538	1.1635	1.6514	2.5739	0.3027	1.3043	0.5098	1.628	1.0591	3.534125	1.5087	1.2558	3.7661	0.6428	0.4576	3.6889	1.685	1.039	2.0717	1.5958	0.8544	2.9081	1.5706	3.2081	0.882777777777778	1.3277	2.574	1.8768	2.9401	0.8229	1.5209	0.0943333333333333	2.8964	2.5142	1.7353	2.3911	1.855	1.9776	1.1302	2.8302	2.9649	0.00260000000000001	1.2231	0.903	0.5347	2.7524	0.9345	1.8364	1.3503	0.8076	1.6505	0.5951	0.7748	0.9245	0.202888888888889	1.2017	0.826142857142857	0.9849	0.149111111111111	0.544	0.8321	2.44928571428571	0.3797	0.7507	1.2881	1.1023	0.9209	0.4987	3.0882	1.976	0.6294	0.7843	0.4247	0.9156
ABCB1	-1.216	-1.090125	-2.528875	-1.83675	-0.328625	-0.884625	-1.42675	-1.0465	-0.372125	-1.15975	-0.6775	-0.433125	-1.643	-1.352125	-1.9475	-1.008125	0.22575	-1.313	-3.111875	-1.583	-0.808125	-1.462125	-1.067	-0.58	-2.263375	0.807125	-0.82575	-0.902875	0.947375	-0.015625	-0.646375	-1.7	0.92725	0.141875	-0.723125	0.5725	0.274625	-1.4185	0.43875	-0.55525	-1.861	0.344125	-0.927375	0.557125	-0.835625	-0.407	1.2865	-0.817	-1.31475	-2.283125	0.376875	-1.921625	-1.000125	-0.86225	-1.24425	0.53175	-0.04925	-0.4905	-1.203625	1.063625	-0.53325	-3.3195	0.220875	-1.098125	-1.78625	0.05575	-0.68825	-0.17775	-0.314	-1.052	1.38275	-1.86025	-1.257125	-1.241875	-2.858375	-1.2175	-2.341625	-0.398875	-2.186125	-1.272875	-1.784125	-0.192625	-0.9055	-1.81475	-0.6945	-0.3365	-0.723125	-1.211375	0.135375	-0.9155	-1.380875	-0.417625	-1.439125	-2.417
ABCC12	2.943	0.998833333333333	4.48466666666667	0.481333333333333	4.28483333333333	0.978	0.580666666666667	4.69116666666667	4.03283333333333	4.05983333333333	0.8615	0.1384	-0.423666666666667	4.04716666666667	9.25185853854297e-18	0.3726	0.0625	0.039	-0.178666666666667	-0.567666666666667	0.0156666666666667	-0.131333333333333	-0.1235	-0.363833333333333	0.201166666666667	0.226666666666667	0.382166666666667	0.316333333333333	0.17	2.0084	2.61816666666667	1.7515	2.04333333333333	1.49183333333333	0.524833333333333	1.83283333333333	1.29333333333333	1.19116666666667	-0.1736	2.3325	2.06066666666667	0.8845	-0.104333333333333	1.57433333333333	1.57316666666667	1.912	0.181166666666667	-0.0545	1.28416666666667	2.88566666666667	0.119833333333333	1.18316666666667	2.82266666666667	1.6655	0.493333333333333	0.7105	2.12416666666667	0.5434	-0.1538	0.472	1.419	3.62116666666667	0.0353333333333333	3.028	1.79166666666667	0.0351666666666667	0.855666666666667	0.417833333333333	0.900666666666667	0.314	1.33116666666667	4.64883333333333	0.733	0.2425	0.1834	0.0692	0.195333333333333	0.0765	1.98083333333333	0.373166666666667	1.37533333333333	0.19875	0.31	1.375	2.46716666666667	0.693166666666667	-0.0848333333333333	0.852833333333333	0.54	2.64083333333333	-0.078	0.42925	3.766	0.261833333333333
ABCC13	0.121625	-0.061625	-0.313125	2.181	0.122125	-0.0884285714285714	-0.09075	-0.466375	-0.369625	0.886571428571429	-0.331875	-0.78525	-0.18	-0.372875	0.0458749999999999	0.173714285714286	-0.1025	1.324875	-0.493428571428571	1.113375	-0.510125	-0.00450000000000003	-0.347125	0.3155	-0.124625	-0.191285714285714	-0.5075	-0.174	-0.2795	5.27371428571429	-0.174125	3.385375	1.5665	1.382	3.937125	2.981375	3.248	0.083125	3.787875	-0.039375	3.58525	3.14725	-0.298142857142857	2.5835	4.552125	0.403625	0.835	4.717875	-0.318285714285714	0.97475	0.02575	0.576166666666667	1.95725	3.2945	-0.081	1.42385714285714	-0.113875	1.88575	3.875875	3.871625	1.279	3.21	-0.0545	2.42525	2.815	0.683285714285714	3.39871428571429	3.655875	-0.112	-0.0705	0.646428571428571	4.33125	4.857875	4.4265	2.19628571428571	1.581125	0.243375	0.12875	3.74228571428571	1.056	0.984125	4.15585714285714	3.299625	0.766	-0.261571428571429	-0.037875	1.811125	-0.148	0.29525	2.521	0.110142857142857	0.078	0.518625	1.681125
