TCGA.C8.A12P.01	TCGA.A8.A08X.01	TCGA.AN.A0FV.01	TCGA.A8.A076.01	TCGA.A8.A09G.01	TCGA.A2.A04W.01	TCGA.BH.A0EE.01	TCGA.AO.A0JE.01	TCGA.C8.A12Q.01	TCGA.A8.A07I.01	TCGA.A8.A094.01	TCGA.E2.A159.01	TCGA.AN.A04D.01	TCGA.B6.A0IQ.01	TCGA.AN.A0FL.01	TCGA.A2.A04P.01	TCGA.AR.A0TS.01	TCGA.AN.A0XU.01	TCGA.AR.A0TP.01	TCGA.BH.A0E0.01	TCGA.A2.A0SX.01	TCGA.BH.A18V.01	TCGA.AO.A12F.01	TCGA.AR.A1AJ.01	TCGA.A2.A0YM.01	TCGA.A2.A0ST.01	TCGA.A2.A0CM.01	TCGA.C8.A134.01	TCGA.AN.A0XT.01	TCGA.BH.A0BJ.01	TCGA.A1.A0SH.01	TCGA.BH.A0H6.01	TCGA.AR.A1AK.01	TCGA.BH.A18H.01	TCGA.BH.A0BV.01	TCGA.C8.A132.01	TCGA.A2.A0YI.01	TCGA.A2.A0CQ.01	TCGA.BH.A0B4.01	TCGA.BH.A0DP.01	TCGA.BH.A0E7.01	TCGA.AO.A12A.01	TCGA.BH.A0BS.01	TCGA.BH.A0BQ.01	TCGA.A2.A0EV.01	TCGA.A8.A0A4.01	TCGA.E2.A1B6.01	TCGA.BH.A0GY.01	TCGA.BH.A0BA.01	TCGA.B6.A0RM.01	TCGA.A2.A0SU.01	TCGA.E2.A15J.01	TCGA.E2.A1BC.01	TCGA.A8.A07F.01	TCGA.E2.A15O.01	TCGA.E2.A14Z.01	TCGA.BH.A0BM.01	TCGA.BH.A0HK.01	TCGA.BH.A0H7.01	TCGA.A2.A0YL.01	TCGA.BH.A0BP.01	TCGA.AR.A1AS.01	TCGA.E2.A14Q.01	TCGA.E2.A10E.01	TCGA.AN.A0XO.01	TCGA.E2.A15P.01	TCGA.B6.A0X0.01	TCGA.A2.A04N.01	TCGA.A8.A091.01	TCGA.A8.A099.01	TCGA.B6.A0RQ.01	TCGA.A8.A09I.01	TCGA.A8.A09M.01	TCGA.A8.A082.01	TCGA.E2.A14W.01	TCGA.BH.A18L.01	TCGA.A8.A06N.01	TCGA.AR.A0TT.01	TCGA.A8.A07W.01	TCGA.AO.A03O.01	TCGA.E2.A14O.01	TCGA.BH.A0BF.01	TCGA.AN.A041.01	TCGA.E2.A10A.01	TCGA.AR.A0TY.01	TCGA.E2.A107.01	TCGA.A2.A0YH.01	TCGA.E2.A109.01	TCGA.BH.A18F.01	TCGA.AN.A0FF.01	TCGA.A8.A09R.01	TCGA.C8.A12M.01	TCGA.AN.A0AM.01	TCGA.AN.A0AS.01
c.Myc	-0.516084224	-0.218796326	-0.797554863	-0.355117131	-0.478955873	-0.732401196	-0.777155958	-0.412582823	-0.537560971	-0.629857599	-0.957530514	-0.708069947	-0.725900791	-0.307894905	-0.379730018	-0.0481601070000002	-0.26213469	-0.306054051	-0.265544888	-0.420102346	-0.160056182	-0.285625344	0.0617635480000001	-1.008793286	-0.472071286	-0.903264038	0.177560866	-0.682599095	-0.681467624	-0.744080943	-0.771311857	-1.060324675	-0.770346325	-0.841125465	-0.373937565	-0.68643512	-1.662526805	-0.602586639	-0.568856532	-0.548803624	-0.829586598	-0.705427039	-0.555737611	-0.909483195	-0.98280799	-0.574483884	-0.355799231	-1.002302775	-0.594820465	-0.773295494	-0.00551484600000007	0.0317284759999999	-0.838987769	-0.0794712620000001	-0.592164861	-0.784498396	-0.0697824999999999	-0.309504978	-0.169721955	-1.040499195	-0.701621934	-1.069323835	-0.754517561	-0.467052631	-0.668910191	-0.542720855	-0.17057608	-0.802644295	-0.602999216	-0.896599413	-0.698465723	-0.566119336	-0.406135003	-0.676330524	-0.272223628	-0.469495042	-0.408656855	-0.309030672	-0.693091116	-0.35423451	-1.510856727	-0.597467571	-0.486462002	-0.561112511	-0.44497131	-0.919248968	-0.307413234	-0.350212723	-0.649846084	-0.644245293	-0.911719322	-0.808621229	-0.528041529	-0.341961038
HER3	0.801438837	0.495784135	0.546701299	1.176496487	0.668984044	0.585984088	0.283006308	0.807400007	0.739267997	0.868642404	0.294854543	0.306385147	1.498755286	0.441403386	0.783765662	0.76308949	1.246119005	0.439133439	0.934757107	0.967142106	0.692633143	0.538840209	1.024522726	-0.00760447900000005	0.624005122	0.306837583	1.048035345	0.397673999	0.62040848	1.004823289	0.493853572	0.68220698	1.433891785	0.022867742	1.215122483	0.447577529	0.464125225	0.931242556	0.856454185	1.081395904	0.508873329	0.136465723	0.488852103	0.466551103	0.788919104	0.963620364	0.476860398	0.78501229	0.721011482	0.487525459	1.051692217	0.801533641	0.792219276	1.877543458	0.724096748	0.451153596	2.090724865	0.705270515	1.414114715	0.752477533	1.42197614	0.19635393	0.441392459	1.1030652	0.581173812	1.103850983	0.219429584	0.693359949	0.931930695	0.680900748	0.8613547	0.600985745	0.636887547	0.401703668	0.305772548	0.1958024	1.039169808	1.183531477	0.805603546	0.840825371	0.0185609019999999	0.852806551	0.734008424	1.075415953	0.704368859	0.258270568	0.855300114	0.353980226	0.837951518	0.795922779	0.517689905	0.277566524	0.451164673	0.76454267
XBP1	0.430711319	0.255149154	0.234272584	0.546023452	0.418114017	0.509634509	0.150433991	0.500073115	0.347953376	0.309841874	0.349704026	0.214450997	0.678738836	0.156915425	0.295547971	0.393866282	0.623769485	0.192710299	0.409418797	0.567891845	1.649104271	0.232784397	0.603770676	-0.085995746	0.192223302	-0.0500707340000001	0.829758051	0.230322586	0.10543653	-0.548925714	0.268645602	-0.640650149	0.20080907	0.170451307	0.614305227	0.042884769	-1.218930356	0.562714404	0.634741096	0.229865007	0.228018281	-0.01884425	0.153182035	0.206377964	-0.315615297	0.626885497	0.414036679	-0.334425235	0.359017445	0.269645482	0.423692235	0.797918181	0.036262258	1.036898199	0.38325818	0.488142912	1.029164106	0.579129039	0.802415019	-0.189705478	-0.486164507	-0.00427873200000006	0.100109311	0.606819788	0.367326906	0.54944819	0.401317664	0.28808491	0.542191601	0.195704025	0.247350024	0.158001782	0.457396401	0.156764473	0.340095418	0.305208874	0.622301956	0.550143554	0.291894939	0.384816108	-0.751646039	0.602197922	0.480491932	0.558147914	0.483271543	0.067462995	0.477510111	0.199448075	0.556163345	0.323247028	0.144660559	-0.0677592210000001	0.317885504	0.431398633
Fibronectin	6.929425731	5.329222746	5.494303955	5.477002979	5.093878675	6.26650691	6.37364991	6.256951025	6.383649417	6.087257551	6.22789576	6.008207608	5.500954297	5.322942801	6.086444438	6.270919692	3.992421411	7.757637489	5.352824036	7.490129669	6.154584508	6.520036233	6.434122395	6.763637598	6.00737314	5.255255006	5.720410415	5.855104283	4.160500772	7.310426051	6.013861659	7.20482282	5.468997082	5.875107864	6.268568885	6.746204837	5.816115901	4.812650893	6.801821639	5.74157072	6.494832265	5.383942849	5.834747303	3.569880008	7.206869811	2.917672317	4.869397458	5.588395641	5.118711971	6.8585986	7.698154942	5.175824102	6.91654297	7.190787922	6.648469335	7.153956442	6.733130211	4.272641305	7.158233208	6.117268204	7.060698553	6.67314469	6.717586198	6.073011551	6.712348834	6.273431068	6.25604867	7.426398868	7.414234646	5.295874767	6.025286003	6.597761628	5.425720132	5.245288383	4.612318673	5.051011971	6.497277721	6.686249131	5.076895218	5.283541554	6.799642019	5.842578779	6.667488943	6.500233141	6.450250999	4.713642074	5.883202627	5.933976678	8.892756289	7.136474017	5.954190317	5.379626616	4.332195784	6.628292984
PAI.1	-0.888607009	-1.065332917	-0.616132246	0.175348571	-1.954444715	-0.93496892	-1.433830176	-1.166345546	-0.571418434	-0.59116885	-1.048900893	-0.500801652	-1.360483711	-2.03945832	-0.409706251	-0.606219109	-1.624615016	-0.771591885	-1.598796289	-0.674916561	-1.374070019	-1.019949967	-1.061993047	0.077721798	-1.810926598	-1.327505843	-1.074827258	-0.792727473	-1.425549558	-0.380298717	-1.522791521	-0.499430657	-1.411417498	-0.54592672	-1.656466453	-0.479870978	-1.943588252	-1.326286505	-0.327766943	-0.355048063	-1.38474086	-1.925152815	-0.558482152	-1.546929729	-0.671046972	-1.687569574	-1.058568712	-0.695834779	-1.777676706	-0.751747536	-1.439958066	-1.499775863	-0.628578545	-0.846458643	-0.770268146	-0.849983212	-0.850428025	-2.203697867	-1.058482494	-0.980245887	0.708538095	-1.290135979	-1.692725032	-1.501458975	-0.740180668	-1.190364385	-1.039991847	0.170584899	-1.514585639	-1.721156577	-0.997978876	-1.31619046	-0.376681504	-0.891526481	-0.488354441	-0.537588031	-0.20735594	-1.350570618	-0.325106284	-1.770631428	-1.741270477	-1.011838797	-0.54051435	-0.99346587	-0.412349698	-1.56938971	-1.229488407	-1.643881758	-0.955192335	-1.744704492	-0.411571404	-1.541439622	-1.322531824	-1.37368946
p21	-0.900064297	-0.729530086	-0.565548741	-0.425014176	-0.597449965	-0.227618776	-0.872031708	-0.505355183	-0.603510131	-0.44072963	-0.870709895	-0.597553293	-0.904994592	-0.60765004	-0.964237717	-1.069548366	-0.787104469	-0.837373089	-0.73217994	-0.494347854	-0.678028145	-0.586621131	-1.025240976	-0.180718311	-0.537380266	-0.958407769	-0.477486227	-0.718791758	-1.086812592	-0.702861593	-0.34486488	-0.413265012	-0.925467515	-0.978465332	-0.616071934	-0.752789585	-0.800015282	-0.971825572	-0.452864639	-0.046752101	-0.933149403	-0.573151631	-0.996057722	-1.090348432	-0.698822453	-0.648781562	-0.762484377	-0.900243713	-0.999076697	-0.0166848600000001	-0.597449965	-0.774848067	-0.603323179	-0.413056246	-0.557522407	-0.846159048	-0.375816159	-1.024921753	-0.23264545	-0.388412728	-0.755876268	-0.890134325	-0.831533685	-0.629435041	-0.331255356	-0.878948929	-0.687442707	-0.360949562	-0.854169726	-0.95867645	-0.231265336	-0.28815285	-0.471088035	-0.545360906	-0.194678331	-0.580332471	-0.876294504	-0.674841071	-0.671893014	-0.646186183	-0.477905187	-0.738256689	-0.478392744	-0.867922121	-0.621229913	-0.617286392	-0.830055889	-0.584539485	-0.499947853	-0.622729165	-0.508117921	-1.013699809	-0.511161482	-0.457516609
PTCH	0.732927275	0.797167268	0.675775042	1.182134636	0.4622414	0.865259177	0.271784984	1.326831819	0.998935207	0.840114722	0.347320955	0.788689395	0.213933757	0.527895758	0.205767902	0.414396749	0.961810047	0.80500295	0.870169583	0.545097554	0.503701062	0.964221114	1.224130808	0.80500295	1.17240968	0.181471708	2.534745428	0.865886002	0.473863722	0.763011246	0.951360349	1.412885501	1.033702836	0.637498579	1.187928587	1.182114323	1.095152701	1.105329056	0.801814734	1.460787164	0.424238707	0.581436402	1.307703732	0.395324004	0.786313992	1.083234665	0.666086701	0.82702246	1.414035999	0.900534661	1.193626659	0.865915179	0.843917841	1.061709811	1.473625607	0.400116364	0.913518867	0.591768778	1.369263737	1.337956588	1.523026298	0.789120389	0.962977659	0.627389826	1.275624175	0.748077667	0.526082829	0.673711766	0.496398308	0.517430695	1.045750686	0.938520646	0.563631005	0.734040554	1.155367284	0.732746975	0.372614407	0.824672801	0.762189581	0.428131054	1.191528972	0.796784582	0.855872516	0.584439527	0.582472798	0.528614466	0.573119387	0.547425505	1.210151806	0.458915352	1.084596277	0.448454468	0.902807957	0.850818635
PKC.alpha_pS657	-1.476617493	-1.323225741	-1.582644455	-0.978797869	-1.448324992	-1.181288752	-1.997363982	-1.485954533	-1.473861113	-1.077151293	-1.468926263	-1.394342931	-1.501836686	-2.038933546	-1.937572627	-1.469438977	-0.390412444	-1.449736117	-1.130429667	-1.548463272	-0.905133372	-1.791960498	-1.876400822	-1.470368614	-1.04217981	-1.251882178	-1.26065109	-1.043244013	-1.829449358	-1.551168348	-0.693078224	-1.576476973	-1.397475473	-0.957570081	-1.458161996	-0.807112743	-0.756095171	-1.769707946	-1.467523344	-0.660747569	-1.658433312	-1.076520996	-1.843992264	-0.92711287	-1.283585269	-0.2496822	-0.942678351	-1.321165414	-1.107539317	-1.170999962	-1.245510573	-1.649311712	-1.32893152	-1.033856296	-1.328548962	-1.449242144	-1.168267794	-1.081826184	-1.340748483	-1.120875249	-1.117681428	-1.825162315	-1.862334599	-1.344242945	-1.177027111	-1.313065394	-1.692648516	-0.758493669	-1.766506392	-1.98047124	-0.795824423	-1.406298155	-1.591281558	-1.609408764	-1.169572703	-1.472019714	-1.463809801	-1.8690414	-0.914449276	-1.666112641	-1.36601114	-0.98523895	-1.366398837	-1.651031982	-1.360473298	-1.668948707	-1.694103387	-1.686636935	-1.050532012	-1.447436663	-1.449746898	-0.752847237	-0.665848151	-1.66327425
Annexin_I	2.222693983	2.304216726	1.637491639	3.250710115	1.917544047	3.037028714	2.635560195	2.284896915	2.671561343	2.558194013	2.318555197	3.663032422	1.949739503	0.876296307	2.342078958	2.817280065	2.802364139	1.467917868	3.173217234	1.603765264	2.916643644	2.05181614	3.034178313	3.972536698	3.173628346	3.034414052	2.999944559	2.536941488	0.980544121	3.276700563	2.668339685	3.739722103	3.26640937	3.160812414	2.371444629	2.828501892	3.062364301	1.867830722	2.248126059	4.11955269	1.281106588	2.061920316	1.107970824	3.01334145	3.078320135	1.295374042	3.051815119	2.714794217	3.162986367	2.680643358	2.647315534	1.645675713	2.558320986	3.264975943	2.632405021	2.29351912	2.678493613	1.608577381	2.468357035	3.147499471	4.057230855	1.772577242	1.907715752	2.425593167	2.565331288	3.018084836	2.02046972	3.58071882	1.465115648	1.038986525	2.996848556	2.402786039	2.027035031	2.059883112	2.835887336	2.205648423	2.168396581	1.876606225	2.260104738	1.734139617	2.744865089	2.458738838	2.522763553	1.764717036	1.767615071	1.762900288	1.702272495	1.903899558	3.607343568	1.974404486	2.063992692	1.078374622	2.53469752	2.172642243
PKC.alpha	0.862571533	0.75823469	0.582209167	0.919376803	0.820186522	0.876059339	0.564795412	0.810522859	0.797872415	0.807878655	0.716493582	1.015972862	1.057844237	0.563553976	0.810817911	0.825532395	1.408001902	0.74207704	1.039259237	1.323095858	0.876013467	0.70408746	0.988715373	0.649711788	1.134199144	0.682058437	1.246662923	0.666981274	0.574732631	0.868713661	0.94660214	0.777777134	1.078487068	0.784927937	0.991552194	1.003966009	1.224057483	0.75948304	0.694812833	1.226108223	0.615786995	0.615117488	0.730524847	0.845946707	0.873211774	0.408077412	0.992025203	0.688637838	0.974208584	1.02755248	1.225090048	0.853928075	0.997584855	1.395542627	0.832916447	0.835516419	1.200440161	0.988430559	0.930655272	1.001854106	1.422575991	0.537574522	0.684652816	0.79397646	0.947620664	1.01248262	0.717848665	0.66810957	0.832247705	0.630243401	1.039093012	0.810462702	0.873220883	0.839450385	0.802745595	0.783635008	0.828785185	1.009436151	0.83050571	0.711013375	0.861160729	1.017043417	0.707564477	0.796215817	0.80442703	0.494427127	0.755774946	0.552589708	1.380320323	0.841519345	0.680456338	0.947402781	1.136064808	0.842606258
